id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
266,Suzanne Bachelard,1919-10-18,2007-03-11,Femme,1976-05-04,,,,,,,file_uploads/ulf_662_Bachelard_Suzanne.jpg,,,6.3.3,https://fr.wikipedia.org/wiki/Suzanne_Bachelard,Q3505892
267,Isaia Iannaccone,1950-01-01,,Homme,2010-04-12,,,,,,,,,,,,Q47108957
268,Ekmeleddin ?hsano?lu,1943-12-26,,Homme,1999-05-05,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ekmeleddin_%C4%B0hsano%C4%9Flu%2C_June_2011_%28cropped%29.jpg,Médaille Koyré,9568,,https://fr.wikipedia.org/wiki/Ekmeleddin_%C4%B0hsano%C4%9Flu,Q331707
269,Aleksandr Išlinskij,1913-07-24,2003-07-02,Homme,,,,,,,,file_uploads/ulf_568_Ishlinsky.jpg,,,,https://de.wikipedia.org/wiki/Alexander_Juljewitsch_Ischlinski,Q4205653
270,Giorgio Israel,1945-06-03,2015-09-25,Homme,1997-05-28,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Giorgio_Israel.jpg,,,,,Q17351969
272,Jean Itard,1902-06-16,1979-05-08,Homme,1967-12-24,,,,,,,,,,,https://fr.wikipedia.org/wiki/Jean_Itard_(historien),Q1685587
273,José Joaquin Izquierdo,1893-08-05,1974-01-16,Homme,1957-09-11,,,,,,,,,,,,Q5940781
274,François Jacob,1920-06-17,2013-04-20,Homme,,,,,,,,file_uploads/ulf_535_François_Jacob.jpg,,,,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Jacob,Q218311
275,Max Jammer,1915-04-13,2010-12-18,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Moshe_yamer.jpg,,,,,Q1390390
276,Frans Jonckheere,1903-01-01,1956-01-01,Homme,,,,,,,,,,,,,Q109855901
277,?tefan B?lan,1913-01-01,1991-03-26,Homme,1981-03-20,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/82/%C8%98tefan_B%C4%83lan.01.jpg,,,6.3.6,https://ro.wikipedia.org/wiki/%C8%98tefan_B%C4%83lan,Q12744277
278,Ricardo de Almeda Jorge,1858-09-05,1939-07-29,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Ricardo_Jorge.jpg,,,,https://pt.wikipedia.org/wiki/Ricardo_Jorge,Q10361161
279,Alberto Jori,1965-01-01,,Homme,,,,,,,,,Prix des jeunes historiens,9567,,https://fr.wikipedia.org/wiki/Alberto_Jori,Q387291
280,Masanori Kaji,1956-08-02,2016-07-18,Homme,,,,,,,,,,,,,Q17129217
281,Ivan Kanaev,1893-10-16,1984-01-01,Homme,,,,,,,,file_uploads/ulf_479_??????_????_????????.jpg,,,,https://et.wikipedia.org/wiki/Ivan_Kanajev,Q4212109
282,Hans Kangro,1916-12-06,1977-09-15,Homme,,,,,,,,,,,,,Q50305938
