id,name,lat,lng,nation,naissance,mort,c_date,e,e_date,genre,ocupation,link,WP
323,Pedro Lain Entralgo,40.4167047,-3.7035825,Espagne,1908-02-15,2001-05-06,1958-08-21,116,1960-02-15,Homme,de la medecine,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.buscabiografias.com%2Fimg%2Fpeople%2FPedro_Lain_Entralgo.jpg&f=1&nofb=1&ipt=69308462adc226e15c0246fa955c4bbee3a3bd86a5b4cbe168875fb2cc4c10a5,https://es.wikipedia.org/wiki/Pedro_La%C3%ADn_Entralgo
326,Chauncey Leake,39.7837304,-100.445882,Etats Unis,1896-05-09,1978-11-01,1952-03-05,129,1961-02-20,Homme,de la medecine,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fhistory.library.ucsf.edu%2Fimages%2Fstory_thumbnails%2Fleake_portrait_sitting.jpg&f=1&nofb=1&ipt=732c64127f47cfa9d2f8a118b980a78a1389cc1e4b981e1075c2e5160310a8e1,https://fr.wikipedia.org/wiki/Chauncey_Leake
334,Giorgio Levi Della Vida,41.8933203,12.4829321,Italie,1886-08-22,1967-11-25,1956-07-16,88,1957-09-11,Homme,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.pensierofilosoficoreligiosoitaliano.org%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Flarge%2Fpublic%2Ffield%2Fimage%2FLeviDellaVia1.jpg%3Fitok%3D18n-RmF4&f=1&nofb=1&ipt=933b6e799f373ccd5afc6b4da9ccc147f58ec720a24bc36611e8a0dd7ae2ceaa,https://fr.wikipedia.org/wiki/Giorgio_Levi_Della_Vida
338,David Lindberg,39.7837304,-100.445882,Etats Unis,1935-11-15,2015-06-01,1986-11-30,490,1991-01-30,Homme,editeur,,https://fr.wikipedia.org/wiki/David_C._Lindberg
342,Edmund Von Lippmann,51.1638175,10.4478313,Allemagne,1857-09-01,1940-09-24,,17,1928-12-26,Homme,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.catalogus-professorum-halensis.de%2Fimages%2Flippmannedmund.jpg&f=1&nofb=1&ipt=2b4eca711e611731063fa0dba68be897f75b0d417c25ba1926aaf2d2bbbe0aea,https://fr.wikipedia.org/wiki/Edmund_von_Lippmann
350,Daston Lorraine,39.7837304,-100.445882,Etats Unis,1951-09-06,,2005-12-28,431,2019-05-25,Femme,des mathematiques,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fblog.berlin.bard.edu%2Fwp-content%2Fuploads%2F2013%2F04%2Florraine-daston.jpg&f=1&nofb=1&ipt=bc6ae199149a39b986784c19aba1be2a41bd146b8e9292d2829513b97e981816,https://fr.wikipedia.org/wiki/Lorraine_Daston
365,Otakar Matousek,50.0596288,14.44645927,Tchecoslovaquie,1899-01-14,1994-04-01,1951-03-10,124,1961-02-20,Homme,de la medecine,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.pinimg.com%2F736x%2F4e%2Fd4%2Fa8%2F4ed4a890dc05ab4ceeb65a4865a5a449--university-of-notre-dame-professor.jpg&f=1&nofb=1&ipt=b159398ee5b28a7909cea2df74cdf7730d634dceaf99b0d74a54134250a596df,https://cs.wikipedia.org/wiki/Otakar_Matou%C5%A1ek
367,Francisco Jaguaribe de Mattos,-22.9110137,-43.2093727,Bresil,1881-08-21,1974-02-03,1938-06-03,51,1939-03-03,Homme,de la geographie,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fsites.utexas.edu%2Fllilas-benson-magazine%2Ffiles%2F2024%2F09%2FJaguaribe-portrait.jpg&f=1&nofb=1&ipt=94b50eccc8e081632691ebd5c58525bd1e13517ab7fc6044814f0c0549147db0,https://pt.wikipedia.org/wiki/Francisco_Jaguaribe_Gomes_de_Matos
372,Ernan McMullin,53.3493795,-6.2605593,Etats Unis,1924-10-13,2011-08-02,1988-11-09,331,2005-12-28,Homme,de l'astronomie,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.centerphilsci.pitt.edu%2Fwp-content%2Fuploads%2F2019%2F08%2Fernan-mcmullin-e1701970395473.gif&f=1&nofb=1&ipt=0c4f186ca2ed5b7c9545ca4167ed2c2176ac78d0f9b0fee547f24f6c1e50d6f8,https://en.wikipedia.org/wiki/Ernan_McMullin
380,Gleb Mikhailov,41.6934591,44.8014495,URSS,1929-02-24,2021-03-18,1984-11-09,320,2005-12-28,Homme,de la physique,,https://fr.wikipedia.org/wiki/Gleb_Mikha%C3%AFlov
392,Sussmann Muntner,47.59397,14.12456,Autriche,1897-09-17,1973-01-20,1951-03-10,125,1961-02-20,Homme,de la medecine,,https://de.wikipedia.org/wiki/S%C3%BCssmann_Munter
396,Joseph Needham,51.5074456,-0.1277653,Royaume-Uni,1900-09-12,1995-03-24,,58,1947-03-06,Homme,de la chimie,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcudl.lib.cam.ac.uk%2Fimages%2FcollectionsView%2Fneedham.jpg&f=1&nofb=1&ipt=83ca6ccbba95b2972924eb4aa41f2672965f2c2e54d773ddedc4b0900fce308a,https://fr.wikipedia.org/wiki/Joseph_Needham
397,Max Neuburger,48.20849,16.37208,Autriche,1868-08-12,1955-03-15,,10,1928-06-11,Homme,de la medecine,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F346328026%2Ffigure%2Ffig1%2FAS%3A983464153202689%401611487534591%2FPortrait-of-Max-Neuburger-Credit-Wellcome-Collection-Attribution-40-International-CC.jpg&f=1&nofb=1&ipt=863784bea83f674f3a7376e1831c4038d72f69222e8d0505dcc6cfcc8f0fd122,https://en.wikipedia.org/wiki/Max_Neuburger
